Date,Price
4/20/1994,1025.84
4/21/1994,1022.87
4/22/1994,1030.6
4/25/1994,1030.04
4/26/1994,1035.92
4/27/1994,1041.4
4/28/1994,1045.7
4/29/1994,1049.07
5/2/1994,1046.48
5/3/1994,1045.06
5/4/1994,1030.31
5/5/1994,1027.39
5/6/1994,1035.51
5/9/1994,1030.51
5/10/1994,1031.29
5/11/1994,1035.41
5/12/1994,1039.97
5/13/1994,1041.52
5/16/1994,1041.59
5/17/1994,1043.07
5/18/1994,1050.72
5/19/1994,1047.56
5/20/1994,1053.34
5/23/1994,1053.06
5/24/1994,1047.81
5/25/1994,1041.27
5/26/1994,1039.74
5/27/1994,1041.58
5/30/1994,1042.55
5/31/1994,1041.82
6/1/1994,1041.86
6/2/1994,1038.12
6/3/1994,1033.05
6/6/1994,1030.7
6/7/1994,1035.04
6/8/1994,1048.43
6/9/1994,1048.52
6/10/1994,1049.43
6/13/1994,1054.92
6/14/1994,1054.06
6/15/1994,1052.51
6/16/1994,1045.07
6/17/1994,1045.38
6/20/1994,1041.98
6/21/1994,1034.37
6/22/1994,1037.54
6/23/1994,1048.5
6/24/1994,1041.35
6/27/1994,1041.05
6/28/1994,1048.29
6/29/1994,1058.02
6/30/1994,1055.28
7/1/1994,1048.11
7/4/1994,1054.73
7/5/1994,1060.63
7/6/1994,1059.81
7/7/1994,1053.55
7/8/1994,1053.37
7/11/1994,1069.94
7/12/1994,1072.97
7/13/1994,1070.49
7/14/1994,1076.01
7/15/1994,1080.68
7/18/1994,1081.98
7/19/1994,1078.8
7/20/1994,1079.8
7/21/1994,1072.75
7/22/1994,1066.33
7/25/1994,1063.97
7/26/1994,1068.4
7/27/1994,1065.78
7/28/1994,1062.8
